country,serbia,montenegro,russia,belarus,ukraine,hungary,macedonia,bosnia & herzegovina
А,1,1,1,1,1,1,1,1
Б,1,1,1,1,1,1,1,1
В,1,1,1,1,1,1,1,1
Г,1,1,1,1,1,1,1,1
Д,1,1,1,1,1,1,1,1
Е,1,1,1,1,1,1,1,1
Ж,1,1,1,1,1,1,1,1
З,1,1,1,1,1,1,1,1
К,1,1,1,1,1,1,1,1
Л,1,1,1,1,1,1,1,1
М,1,1,1,1,1,1,1,1
Н,1,1,1,1,1,1,1,1
О,1,1,1,1,1,1,1,1
П,1,1,1,1,1,1,1,1
Р,1,1,1,1,1,1,1,1
С,1,1,1,1,1,1,1,1
Т,1,1,1,1,1,1,1,1
У,1,1,1,1,1,1,1,1
Ф,1,1,1,1,1,1,1,1
Х,1,1,1,1,1,1,1,1
Ц,1,1,1,1,1,1,1,1
Ч,1,1,1,1,1,1,1,1
Ш,1,1,1,1,1,1,1,1
Џ,1,1,0,0,0,0,1,1
Њ,1,1,0,0,0,0,1,1
Љ,1,1,0,0,0,0,1,1
Ј,1,1,0,0,0,0,1,1
Ћ,1,1,0,0,0,0,0,1
Ђ,1,1,0,0,0,0,0,1
З́,0,1,0,0,0,0,0,0
С́,0,1,0,0,0,0,0,0
Ў,0,0,0,1,0,0,0,0
І,0,0,0,1,1,0,0,0
Ь,0,0,1,1,1,1,0,0
Ю,0,0,1,1,1,1,0,0
Я,0,0,1,1,1,1,0,0
Й,0,0,1,1,1,1,0,0
Ё,0,0,1,1,0,0,0,0
Ы,0,0,1,1,0,0,0,0
Э,0,0,1,1,0,0,0,0
Б,0,0,0,0,0,0,0,0
Ѕ,0,0,0,0,0,0,1,0
Ќ,0,0,0,0,0,0,1,0
Ѓ,0,0,0,0,0,0,1,0
Ґ,0,0,0,0,1,0,0,0
Є,0,0,0,0,1,0,0,0
Ї,0,0,0,0,1,0,0,0
Щ,0,0,1,0,1,1,1,0
И,1,1,1,0,1,1,1,1
Ъ,0,0,1,0,0,1,0,0
